Filesize, trialnumber, pattern length, time taken, number of comparisons,number of matches, algo name
150,1,3,1185,154519420,733810,AutomatonSearch
150,2,3,1156,154519420,733810,AutomatonSearch
150,3,3,1167,154519420,733810,AutomatonSearch
150,4,3,1146,154519420,733810,AutomatonSearch
150,5,3,1197,154519420,733810,AutomatonSearch
150,1,17,1129,154519420,20966,AutomatonSearch
150,2,17,1164,154519420,20966,AutomatonSearch
150,3,17,1135,154519420,20966,AutomatonSearch
150,4,17,1159,154519420,20966,AutomatonSearch
150,5,17,1151,154519420,20966,AutomatonSearch
200,1,3,1544,206028350,978425,AutomatonSearch
200,2,3,1559,206028350,978425,AutomatonSearch
200,3,3,1569,206028350,978425,AutomatonSearch
200,4,3,1546,206028350,978425,AutomatonSearch
200,5,3,1531,206028350,978425,AutomatonSearch
200,1,17,1530,206028350,27955,AutomatonSearch
200,2,17,1531,206028350,27955,AutomatonSearch
200,3,17,1534,206028350,27955,AutomatonSearch
200,4,17,1561,206028350,27955,AutomatonSearch
200,5,17,1628,206028350,27955,AutomatonSearch
250,1,3,1921,257537280,1223040,AutomatonSearch
250,2,3,1934,257537280,1223040,AutomatonSearch
250,3,3,1954,257537280,1223040,AutomatonSearch
250,4,3,2006,257537280,1223040,AutomatonSearch
250,5,3,1955,257537280,1223040,AutomatonSearch
250,1,17,1976,257537280,34944,AutomatonSearch
250,2,17,1986,257537280,34944,AutomatonSearch
250,3,17,1930,257537280,34944,AutomatonSearch
250,4,17,1942,257537280,34944,AutomatonSearch
250,5,17,1962,257537280,34944,AutomatonSearch
300,1,3,2356,309038840,1467620,AutomatonSearch
300,2,3,2295,309038840,1467620,AutomatonSearch
300,3,3,2410,309038840,1467620,AutomatonSearch
300,4,3,2347,309038840,1467620,AutomatonSearch
300,5,3,2299,309038840,1467620,AutomatonSearch
300,1,17,2309,309038840,41932,AutomatonSearch
300,2,17,2276,309038840,41932,AutomatonSearch
300,3,17,2349,309038840,41932,AutomatonSearch
300,4,17,2246,309038840,41932,AutomatonSearch
300,5,17,2281,309038840,41932,AutomatonSearch
500,1,3,3941,515067190,2446045,AutomatonSearch
500,2,3,3990,515067190,2446045,AutomatonSearch
500,3,3,3827,515067190,2446045,AutomatonSearch
500,4,3,3988,515067190,2446045,AutomatonSearch
500,5,3,3921,515067190,2446045,AutomatonSearch
500,1,17,3869,515067190,69887,AutomatonSearch
500,2,17,3906,515067190,69887,AutomatonSearch
500,3,17,3835,515067190,69887,AutomatonSearch
500,4,17,3874,515067190,69887,AutomatonSearch
500,5,17,3891,515067190,69887,AutomatonSearch
150,1,3,7276,149361782,733810,RabinKarp
150,2,3,7398,149361782,733810,RabinKarp
150,3,3,7434,149361782,733810,RabinKarp
150,4,3,7361,149361782,733810,RabinKarp
150,5,3,7365,149361782,733810,RabinKarp
150,1,17,6255,113363146,20966,RabinKarp
150,2,17,6206,113363146,20966,RabinKarp
150,3,17,6199,113363146,20966,RabinKarp
150,4,17,6181,113363146,20966,RabinKarp
150,5,17,6142,113363146,20966,RabinKarp
200,1,3,9781,199151418,978425,RabinKarp
200,2,3,9853,199151418,978425,RabinKarp
200,3,3,9887,199151418,978425,RabinKarp
200,4,3,9909,199151418,978425,RabinKarp
200,5,3,9868,199151418,978425,RabinKarp
200,1,17,8243,151152669,27955,RabinKarp
200,2,17,8212,151152669,27955,RabinKarp
200,3,17,8231,151152669,27955,RabinKarp
200,4,17,8192,151152669,27955,RabinKarp
200,5,17,8187,151152669,27955,RabinKarp
250,1,3,12376,248941054,1223040,RabinKarp
250,2,3,12357,248941054,1223040,RabinKarp
250,3,3,12371,248941054,1223040,RabinKarp
250,4,3,12368,248941054,1223040,RabinKarp
250,5,3,12365,248941054,1223040,RabinKarp
250,1,17,10470,188942192,34944,RabinKarp
250,2,17,10342,188942192,34944,RabinKarp
250,3,17,10360,188942192,34944,RabinKarp
250,4,17,10388,188942192,34944,RabinKarp
250,5,17,10364,188942192,34944,RabinKarp
300,1,3,14926,298723566,1467620,RabinKarp
300,2,3,14962,298723566,1467620,RabinKarp
300,3,3,14868,298723566,1467620,RabinKarp
300,4,3,14846,298723566,1467620,RabinKarp
300,5,3,14867,298723566,1467620,RabinKarp
300,1,17,12500,226726308,41932,RabinKarp
300,2,17,12423,226726308,41932,RabinKarp
300,3,17,12491,226726308,41932,RabinKarp
300,4,17,12483,226726308,41932,RabinKarp
300,5,17,12519,226726308,41932,RabinKarp
500,1,3,24878,497874986,2446045,RabinKarp
500,2,3,24782,497874986,2446045,RabinKarp
500,3,3,24939,497874986,2446045,RabinKarp
500,4,3,24770,497874986,2446045,RabinKarp
500,5,3,24805,497874986,2446045,RabinKarp
500,1,17,20726,377878993,69887,RabinKarp
500,2,17,20754,377878993,69887,RabinKarp
500,3,17,20702,377878993,69887,RabinKarp
500,4,17,20649,377878993,69887,RabinKarp
500,5,17,20567,377878993,69887,RabinKarp
150,1,3,374,154519420,733810,ShiftOr
150,2,3,433,154519420,733810,ShiftOr
150,3,3,432,154519420,733810,ShiftOr
150,4,3,389,154519420,733810,ShiftOr
150,5,3,375,154519420,733810,ShiftOr
150,1,17,372,154519420,20966,ShiftOr
150,2,17,354,154519420,20966,ShiftOr
150,3,17,379,154519420,20966,ShiftOr
150,4,17,361,154519420,20966,ShiftOr
150,5,17,426,154519420,20966,ShiftOr
200,1,3,525,206028350,978425,ShiftOr
200,2,3,491,206028350,978425,ShiftOr
200,3,3,519,206028350,978425,ShiftOr
200,4,3,521,206028350,978425,ShiftOr
200,5,3,498,206028350,978425,ShiftOr
200,1,17,511,206028350,27955,ShiftOr
200,2,17,483,206028350,27955,ShiftOr
200,3,17,502,206028350,27955,ShiftOr
200,4,17,489,206028350,27955,ShiftOr
200,5,17,470,206028350,27955,ShiftOr
250,1,3,605,257537280,1223040,ShiftOr
250,2,3,577,257537280,1223040,ShiftOr
250,3,3,656,257537280,1223040,ShiftOr
250,4,3,674,257537280,1223040,ShiftOr
250,5,3,701,257537280,1223040,ShiftOr
250,1,17,643,257537280,34944,ShiftOr
250,2,17,662,257537280,34944,ShiftOr
250,3,17,636,257537280,34944,ShiftOr
250,4,17,629,257537280,34944,ShiftOr
250,5,17,604,257537280,34944,ShiftOr
300,1,3,824,309038840,1467620,ShiftOr
300,2,3,819,309038840,1467620,ShiftOr
300,3,3,794,309038840,1467620,ShiftOr
300,4,3,851,309038840,1467620,ShiftOr
300,5,3,813,309038840,1467620,ShiftOr
300,1,17,767,309038840,41932,ShiftOr
300,2,17,761,309038840,41932,ShiftOr
300,3,17,786,309038840,41932,ShiftOr
300,4,17,811,309038840,41932,ShiftOr
300,5,17,769,309038840,41932,ShiftOr
500,1,3,1315,515067190,2446045,ShiftOr
500,2,3,1306,515067190,2446045,ShiftOr
500,3,3,1353,515067190,2446045,ShiftOr
500,4,3,1349,515067190,2446045,ShiftOr
500,5,3,1350,515067190,2446045,ShiftOr
500,1,17,1345,515067190,69887,ShiftOr
500,2,17,1272,515067190,69887,ShiftOr
500,3,17,1277,515067190,69887,ShiftOr
500,4,17,1272,515067190,69887,ShiftOr
500,5,17,1268,515067190,69887,ShiftOr
